batch	id	adult	masculine	headwear	extra_people	usable_neck	facial_artifact_concerns	hot_candidate	note
v1	000	y	y	n	u	y	n	y	Adult short-haired face; neck visible; blurred background shapes could be people.
v1	001	y	n	n	n	u	u	n	Feminine presentation; tight lower crop; fine detail not reviewed natively.
v1	002	u	n	n	n	u	u	n	Youthful appearance; adult status uncertain; hand beside face.
v1	003	y	n	n	n	u	u	n	Adult feminine presentation with glasses; little lower-neck space.
v1	004	u	y	n	y	y	n	u	Youthful masculine appearance remains age-uncertain; partial person at left; harsh sun.
v1	005	y	u	n	y	n	u	u	Adult-looking but masculine presentation uncertain; partial head at right; tight chin and flash-lit mouth.
v1	006	y	n	n	n	u	u	n	Adult feminine presentation; broad smile and glasses; contact-only detail.
v1	007	u	n	n	n	u	u	n	Youthful feminine presentation; adult status uncertain.
v1	008	n	u	y	u	n	u	n	Infant appearance; bonnet/head covering; no attractiveness assessment.
v1	009	y	y	n	n	y	n	n	Mature masculine appearance; clear profile and shirt; not selected for subjective calendar aesthetic.
v1	010	y	n	n	y	u	u	n	Feminine presentation; additional visible person/hat behind shoulder.
v1	011	u	n	n	u	u	u	n	Youthful feminine presentation; adult status uncertain; background blur.
v1	012	y	n	n	y	u	u	n	Adult feminine presentation; distinct partial second face at right.
v1	013	u	n	n	y	n	u	n	Youthful feminine presentation; adult status uncertain; cropped second face at left.
v1	014	y	n	n	y	u	u	n	Feminine presentation; partial person at left; limited neck.
v1	015	y	n	n	n	u	u	n	Adult feminine presentation with glasses; contact-only detail.
v1	016	y	y	n	n	y	n	n	Mature adult masculine appearance; intact face and glasses; not selected aesthetically.
v1	017	y	y	n	n	u	n	y	Appealing adult bearded face and glasses; beard almost reaches frame edge, limiting collar room.
v1	018	y	n	n	y	u	u	n	Adult feminine presentation; partial second face at left.
v1	019	n	u	y	u	n	u	n	Infant appearance; hair accessory; no attractiveness assessment.
v1	020	y	n	n	n	u	u	n	Adult feminine presentation; contact-only fine detail.
v1	021	y	y	y	n	y	u	u	Clearly adult smiling bearded face; cap on head; subjective aesthetic uncertain at contact size.
v1	022	y	n	n	n	u	u	n	Adult feminine presentation; little visible lower neck.
v1	023	u	y	y	y	n	y	u	Youthful masculine face; adult status uncertain; headwear and another person's hands; malformed/occluded brow-eye area.
v1	024	y	y	n	n	y	n	u	Mature adult masculine face and glasses; native anatomy plausible; subjective appeal uncertain.
v1	025	y	y	n	n	y	n	u	Mature adult masculine profile; intact eyes/face; subjective appeal uncertain.
v1	026	n	n	n	n	n	u	n	Child appearance; no attractiveness assessment.
v1	027	y	n	y	n	u	u	n	Adult feminine presentation; red cap.
v1	028	y	y	n	n	u	n	y	Appealing adult bearded face; beard reaches lower frame and limits collar; background lettering.
v1	029	y	n	n	y	u	u	n	Adult feminine presentation; partial second face at upper right.
v1	030	y	y	n	y	y	n	y	Appealing adult short-haired face; partial second person along left edge; neck visible.
v1	031	y	n	y	n	u	u	n	Adult feminine presentation; elaborate head ornament and makeup; contact-only fine detail.
b2	000	y	n	n	n	u	u	n	Adult feminine presentation; tight lower crop; background lettering.
b2	001	y	y	n	y	y	n	y	Appealing adult masculine face and glasses; unmistakable second face at left.
b2	002	y	y	n	y	u	n	n	Mature masculine face; large partial second face at right; limited neck.
b2	003	u	u	y	n	n	u	u	Adult status and masculine presentation uncertain under head covering; do not treat as adult.
b2	004	y	n	y	n	u	u	n	Adult feminine presentation; knit hat.
b2	005	y	n	n	u	u	u	n	Mature feminine presentation; partial hand/object at left, ownership uncertain.
b2	006	u	n	y	n	n	u	n	Youthful feminine presentation; adult status uncertain; head scarf.
b2	007	u	y	n	n	u	u	u	Youthful masculine appearance remains age-uncertain; strong sun, squint and washed-out skin detail.
b2	008	y	n	n	n	u	u	n	Adult feminine presentation with hand under chin; neck partly obscured.
b2	009	n	u	n	n	n	u	n	Child appearance; no attractiveness assessment.
b2	010	y	n	n	n	u	u	n	Adult feminine presentation; broad smile.
b2	011	n	u	n	n	n	u	n	Child appearance; no attractiveness assessment.
b2	012	y	y	n	y	u	n	u	Adult masculine face with glasses; partial person at right; tight collar space; subjective appeal uncertain.
